__time,/Target/state.0,/Target/state.1,/Target/state.10,/Target/state.11,/Target/state.2,/Target/state.3,/Target/state.4,/Target/state.5,/Target/state.6,/Target/state.7,/Target/state.8,/Target/state.9,/model_state_calcs/state.0,/model_state_calcs/state.1,/model_state_calcs/state.10,/model_state_calcs/state.11,/model_state_calcs/state.2,/model_state_calcs/state.3,/model_state_calcs/state.4,/model_state_calcs/state.5,/model_state_calcs/state.6,/model_state_calcs/state.7,/model_state_calcs/state.8,/model_state_calcs/state.9,/model_state_calcs0/state.0,/model_state_calcs0/state.1,/model_state_calcs0/state.10,/model_state_calcs0/state.11,/model_state_calcs0/state.2,/model_state_calcs0/state.3,/model_state_calcs0/state.4,/model_state_calcs0/state.5,/model_state_calcs0/state.6,/model_state_calcs0/state.7,/model_state_calcs0/state.8,/model_state_calcs0/state.9,/model_state_calcs2/state.0,/model_state_calcs2/state.1,/model_state_calcs2/state.10,/model_state_calcs2/state.11,/model_state_calcs2/state.2,/model_state_calcs2/state.3,/model_state_calcs2/state.4,/model_state_calcs2/state.5,/model_state_calcs2/state.6,/model_state_calcs2/state.7,/model_state_calcs2/state.8,/model_state_calcs2/state.9,/model_state_calcs3/state.0,/model_state_calcs3/state.1,/model_state_calcs3/state.10,/model_state_calcs3/state.11,/model_state_calcs3/state.2,/model_state_calcs3/state.3,/model_state_calcs3/state.4,/model_state_calcs3/state.5,/model_state_calcs3/state.6,/model_state_calcs3/state.7,/model_state_calcs3/state.8,/model_state_calcs3/state.9,/model_state_calcs4/state.0,/model_state_calcs4/state.1,/model_state_calcs4/state.10,/model_state_calcs4/state.11,/model_state_calcs4/state.2,/model_state_calcs4/state.3,/model_state_calcs4/state.4,/model_state_calcs4/state.5,/model_state_calcs4/state.6,/model_state_calcs4/state.7,/model_state_calcs4/state.8,/model_state_calcs4/state.9,/model_state_calcs5/state.0,/model_state_calcs5/state.1,/model_state_calcs5/state.10,/model_state_calcs5/state.11,/model_state_calcs5/state.2,/model_state_calcs5/state.3,/model_state_calcs5/state.4,/model_state_calcs5/state.5,/model_state_calcs5/state.6,/model_state_calcs5/state.7,/model_state_calcs5/state.8,/model_state_calcs5/state.9,/mpc_solution/pitch,/mpc_solution/roll,/mpc_solution/thrust,/mpc_solution/yaw_rate,/true_state/state.0,/true_state/state.1,/true_state/state.10,/true_state/state.11,/true_state/state.2,/true_state/state.3,/true_state/state.4,/true_state/state.5,/true_state/state.6,/true_state/state.7,/true_state/state.8,/true_state/state.9
1738079382.671423,-0.494744,0.028856,0.000000,0.000000,1.018348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738079382.681368,-0.494769,0.028845,0.000000,0.000000,1.018358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738079382.681503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.070716,0.240866,-0.008632,-0.007824,0.123123,-0.000077,-0.000096,0.000277,0.048303,0.007653,-0.066085,-0.006478
1738079382.691192,-0.494774,0.028837,0.000000,0.000000,1.018348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738079382.691392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.070715,0.240856,0.000785,0.000533,0.123066,-0.000051,-0.000127,-0.000147,0.048514,0.008791,-0.065084,-0.003265
1738079382.701442,-0.494769,0.028841,0.000000,0.000000,1.018338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738079382.701578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.070724,0.240854,0.012837,0.004793,0.123036,-0.000090,-0.000099,-0.000285,0.048635,0.010838,-0.064347,-0.001562
1738079382.725189,-0.494747,0.028834,0.000000,0.000000,1.018327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738079382.725389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.070717,0.240857,-0.004812,-0.003821,0.123060,-0.000016,-0.000049,-0.000057,0.048594,0.008539,-0.065543,-0.001339
1738079382.725727,-0.494743,0.028851,0.000000,0.000000,1.018324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738079382.725867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.070714,0.240863,-0.009889,-0.003810,0.123105,0.000006,0.000001,0.000230,0.047965,0.007452,-0.065732,-0.004713
1738079382.730592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.070696,0.240878,-0.004069,-0.004553,0.123104,0.000111,0.000088,0.000160,0.048126,0.007928,-0.066046,-0.002332
1738079382.730859,-0.494755,0.028843,0.000000,0.000000,1.018345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
